Score,Project
"[[{'label': 'neutral', 'score': 0.9463567137718201}, {'label': 'positive', 'score': 0.03249836713075638}, {'label': 'negative', 'score': 0.0211449284106493}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.938692033290863}, {'label': 'negative', 'score': 0.039950888603925705}, {'label': 'positive', 'score': 0.021357044577598572}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9170853495597839}, {'label': 'positive', 'score': 0.06793393194675446}, {'label': 'negative', 'score': 0.014980747364461422}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9449898600578308}, {'label': 'negative', 'score': 0.031553689390420914}, {'label': 'positive', 'score': 0.02345644310116768}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.944969117641449}, {'label': 'negative', 'score': 0.03313479572534561}, {'label': 'positive', 'score': 0.02189614437520504}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9338182806968689}, {'label': 'negative', 'score': 0.04503519833087921}, {'label': 'positive', 'score': 0.021146539598703384}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9435275197029114}, {'label': 'positive', 'score': 0.038489796221256256}, {'label': 'negative', 'score': 0.01798267848789692}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9424792528152466}, {'label': 'positive', 'score': 0.042822957038879395}, {'label': 'negative', 'score': 0.014697867445647717}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9448692798614502}, {'label': 'positive', 'score': 0.029631029814481735}, {'label': 'negative', 'score': 0.02549971267580986}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9367091655731201}, {'label': 'positive', 'score': 0.04320903122425079}, {'label': 'negative', 'score': 0.020081762224435806}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9330261945724487}, {'label': 'negative', 'score': 0.040219202637672424}, {'label': 'positive', 'score': 0.0267545897513628}]]",Compound
"[[{'label': 'neutral', 'score': 0.9408721327781677}, {'label': 'positive', 'score': 0.035099100321531296}, {'label': 'negative', 'score': 0.024028725922107697}]]",Compound
"[[{'label': 'neutral', 'score': 0.9452890753746033}, {'label': 'positive', 'score': 0.03918790817260742}, {'label': 'negative', 'score': 0.015522961504757404}]]",Compound
"[[{'label': 'neutral', 'score': 0.6206219792366028}, {'label': 'positive', 'score': 0.3701002895832062}, {'label': 'negative', 'score': 0.009277723729610443}]]",Compound
"[[{'label': 'positive', 'score': 0.524451494216919}, {'label': 'neutral', 'score': 0.46301987767219543}, {'label': 'negative', 'score': 0.012528570368885994}]]",Compound
"[[{'label': 'neutral', 'score': 0.9471893310546875}, {'label': 'positive', 'score': 0.028545264154672623}, {'label': 'negative', 'score': 0.024265436455607414}]]",Compound
"[[{'label': 'neutral', 'score': 0.9441584348678589}, {'label': 'negative', 'score': 0.030063912272453308}, {'label': 'positive', 'score': 0.02577758952975273}]]",Compound
"[[{'label': 'neutral', 'score': 0.9390275478363037}, {'label': 'positive', 'score': 0.030550282448530197}, {'label': 'negative', 'score': 0.030422242358326912}]]",Compound
"[[{'label': 'neutral', 'score': 0.9352123737335205}, {'label': 'negative', 'score': 0.04562341049313545}, {'label': 'positive', 'score': 0.019164210185408592}]]",Compound
"[[{'label': 'neutral', 'score': 0.8971004486083984}, {'label': 'negative', 'score': 0.06484252959489822}, {'label': 'positive', 'score': 0.038056984543800354}]]",Compound
"[[{'label': 'neutral', 'score': 0.9451466202735901}, {'label': 'positive', 'score': 0.03555803745985031}, {'label': 'negative', 'score': 0.019295355305075645}]]",Aave
"[[{'label': 'neutral', 'score': 0.9289249777793884}, {'label': 'positive', 'score': 0.049497008323669434}, {'label': 'negative', 'score': 0.02157803252339363}]]",Aave
"[[{'label': 'neutral', 'score': 0.598998486995697}, {'label': 'positive', 'score': 0.38885512948036194}, {'label': 'negative', 'score': 0.012146379798650742}]]",Aave
"[[{'label': 'neutral', 'score': 0.9453281164169312}, {'label': 'positive', 'score': 0.029772816225886345}, {'label': 'negative', 'score': 0.024899128824472427}]]",Aave
"[[{'label': 'neutral', 'score': 0.898444652557373}, {'label': 'positive', 'score': 0.08829296380281448}, {'label': 'negative', 'score': 0.013262413442134857}]]",Aave
"[[{'label': 'neutral', 'score': 0.9262830018997192}, {'label': 'negative', 'score': 0.0505610890686512}, {'label': 'positive', 'score': 0.02315591648221016}]]",Aave
"[[{'label': 'neutral', 'score': 0.9347639083862305}, {'label': 'positive', 'score': 0.034160275012254715}, {'label': 'negative', 'score': 0.03107578493654728}]]",Aave
"[[{'label': 'neutral', 'score': 0.930494487285614}, {'label': 'negative', 'score': 0.04614397883415222}, {'label': 'positive', 'score': 0.023361554369330406}]]",Aave
